id,created_at,text
861252105234984960,2017-05-07 16:11:17,b'RT @SWMLodge: Into the world of wilderness!\n#SWMlodge #tajhotels #rajasthan @TajHotels @VivantabyTaj https://t.co/R7h7CAWJne'
861251222027763713,2017-05-07 16:07:47,"b'RT @HinduJagoran: @VasundharaBJP LOL... Since when #Rajasthan became the ""Knowledge-Karkhana"" of India??!!! @VedicVidyalaya @SanskritVarsit\xe2\x80\xa6'"
861250774839336960,2017-05-07 16:06:00,"b""read about Jules' recent #travels to #India here #Jaisalmer #Rajasthan #culture #holidays https://t.co/hz4cBVBzcX https://t.co/tj1JCDwNEb"""
861250773786677249,2017-05-07 16:06:00,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861250003771064320,2017-05-07 16:02:56,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861248945812623362,2017-05-07 15:58:44,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861248521357459456,2017-05-07 15:57:03,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861246195880022017,2017-05-07 15:47:48,"b'Saw a racist job ad on LinkedIn for a #Rajasthan based school, this needs investigation @VasundharaBJP\xe2\x80\xa6 https://t.co/NApHzFjX7F'"
861244784337330176,2017-05-07 15:42:12,b'Beat the heat this summer at @gulmoharsariskaresort #PoolPlay #JoyOfTheJungle #pool #Swimming #resort #hotel\xe2\x80\xa6 https://t.co/swPvwuzcJ9'
861244637721370624,2017-05-07 15:41:37,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861241756595171328,2017-05-07 15:30:10,"b'#IndiaClimate: #Rajasthan Roasts Under Heat Wave Conditions\nFor More #News, Log Onto #Editplatter\xe2\x80\xa6 https://t.co/p97m03lz2t'"
861240613060005888,2017-05-07 15:25:37,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861240554792906752,2017-05-07 15:25:23,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861240408940085249,2017-05-07 15:24:49,"b""RT @DIPRRajasthan: #Rajasthan to launch '#Jaipur Festival of #Education' in August\n#JaipurEducationFestival #ShikshitRajasthan\nhttps://t.co\xe2\x80\xa6"""
861240329306914817,2017-05-07 15:24:30,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861238122549530625,2017-05-07 15:15:44,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861237927921287168,2017-05-07 15:14:57,"b'RT @ashokgehlot51: It is very painful to know six children have lost lives in a tragic road accident in #Sawaimadhopur, #Rajasthan.. https:\xe2\x80\xa6'"
861237634542292993,2017-05-07 15:13:47,"b'RT @ashokgehlot51: It is a historical site, visited by large number of tourists n must be preserved. #SajjangarhPalace #Udaipur #Rajasthan'"
861237568012242944,2017-05-07 15:13:31,b'RT @ashokgehlot51: I congratulate Avinash Pandey ji for becoming General Secretary incharge\xe2\x80\x8b of #Rajasthan Cong.Wish him all success in thi\xe2\x80\xa6'
861237554938556416,2017-05-07 15:13:28,b'RT @ashokgehlot51: All Congressmen in the State will work with him to strengthen the party.\n#Rajasthan'
861237465142767617,2017-05-07 15:13:07,b'RT @ashokgehlot51: ....May his dream of building a medical laboratory also come true.\n #Jodhpur #Rajasthan'
861237462131232768,2017-05-07 15:13:06,b'RT @NewsX: #Rajasthan roasts under heat wave conditions\nhttps://t.co/QvcVaQ6bG3'
861237359102349313,2017-05-07 15:12:42,b'RT @ashokgehlot51: 470 MOUs n only 38 projects on the ground. It is not even ten percent of what the BJP claimed. #Rajasthan'
861237343080128512,2017-05-07 15:12:38,b'RT @ashokgehlot51: The promise of providing jobs to 3.5 lacs due to these MOUs has been proved false too. #Rajasthan'
861237312260366336,2017-05-07 15:12:30,b'RT @ashokgehlot51: Why so mch hype ws created abt investment n job creation?\nHopes of unemployed youth of #Rajasthan hv bn shattered due to\xe2\x80\xa6'
861237295818698753,2017-05-07 15:12:26,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861237180253036544,2017-05-07 15:11:59,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861235699491774467,2017-05-07 15:06:06,b'RT @SuddharJao: #HotIronBranding as a #vaccination in #Rajasthan prevelant due to lack of #awareness #SuddharJao #LegalMitra https://t.co/A\xe2\x80\xa6'
861235023042752514,2017-05-07 15:03:25,b'#republic #world App - https://t.co/1lm2OHitro  #rajasthan  #dairy  #farmers sell  #cow  #dung  #cakes on  #amazon https://t.co/gGOD6ls0Di'
861234998648741888,2017-05-07 15:03:19,b'#news #summary:  #rajasthan  #dairy  #farmers sell  #cow  #dung  #cakes on  #amazon https://t.co/b8XbOfDSYE'
861234491112730626,2017-05-07 15:01:18,"b'We thank Kamal Khatri for registering as #B+ blood donor in #Kota, #Rajasthan #Friends2Support'"
861233121210933250,2017-05-07 14:55:51,"b'RT @ashokgehlot51: It is a historical site, visited by large number of tourists n must be preserved. #SajjangarhPalace #Udaipur #Rajasthan'"
861232735586627586,2017-05-07 14:54:19,b'RT @ashokgehlot51: All Congressmen in the State will work with him to strengthen the party.\n#Rajasthan'
861232711989469184,2017-05-07 14:54:14,b'RT @ashokgehlot51: I congratulate Avinash Pandey ji for becoming General Secretary incharge\xe2\x80\x8b of #Rajasthan Cong.Wish him all success in thi\xe2\x80\xa6'
861232148644319232,2017-05-07 14:51:59,b'RT @TOLFA: Please join us!\nCaring for Animals Event\nSunday 7th May\n#TOLFA #SPCA #Ajmer #Rajasthan #India #animalrescue #charity #event #tra\xe2\x80\xa6'
861231937733533696,2017-05-07 14:51:09,b'RT @ashokgehlot51: 470 MOUs n only 38 projects on the ground. It is not even ten percent of what the BJP claimed. #Rajasthan'
861231916116131842,2017-05-07 14:51:04,b'RT @ashokgehlot51: The promise of providing jobs to 3.5 lacs due to these MOUs has been proved false too. #Rajasthan'
861231888781893632,2017-05-07 14:50:57,b'RT @ashokgehlot51: Why so mch hype ws created abt investment n job creation?\nHopes of unemployed youth of #Rajasthan hv bn shattered due to\xe2\x80\xa6'
861231377789763585,2017-05-07 14:48:56,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861230391746801665,2017-05-07 14:45:00,b'RT @AnilGarg325: @VasudevDevnani More than 40% posts of lecturers are vacant in #Rajasthan\rHow can you think of increasing enrolment? https\xe2\x80\xa6'
861229755462537216,2017-05-07 14:42:29,"b'RT @ashokgehlot51: It is very painful to know six children have lost lives in a tragic road accident in #Sawaimadhopur, #Rajasthan.. https:\xe2\x80\xa6'"
861228110536101892,2017-05-07 14:35:57,b'#Rajasthan roasts under heat wave conditions\nhttps://t.co/QvcVaQ6bG3'
861228055431458816,2017-05-07 14:35:43,b'#republic #world App - https://t.co/1lm2OHitro  #rajasthan: 6  #children killed after  #tractor rams into  #trolley https://t.co/5ZtKPrRgcL'
861228032094326784,2017-05-07 14:35:38,b'#news #summary:  #rajasthan: 6  #children killed after  #tractor rams into  #trolley https://t.co/Yf2xkuBXiB'
861227543516590081,2017-05-07 14:33:41,b'#ats #neetpaper #rajasthan Four arrested for \xe2\x80\x98leaking\xe2\x80\x99 NEET paper in Rajasthan https://t.co/Px1he2vDkA'
861226674704326662,2017-05-07 14:30:14,b'How to make a Rental Agreement in #Rajasthan \n\nhttps://t.co/boZhr9JPGX https://t.co/nhfLsXojAB'
861225844592844800,2017-05-07 14:26:56,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861225827622678528,2017-05-07 14:26:52,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861225777311952897,2017-05-07 14:26:40,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861220976872366080,2017-05-07 14:07:36,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861219329932746752,2017-05-07 14:01:03,b'It is a strict no-no to miss out on these spectacular markets while #shopping in #Jodhpur. https://t.co/wPSHFx0aVv\xe2\x80\xa6 https://t.co/HeCp3mNOMH'
861217729638002688,2017-05-07 13:54:42,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861217712047099904,2017-05-07 13:54:37,"b'RT @ashokgehlot51: It is very painful to know six children have lost lives in a tragic road accident in #Sawaimadhopur, #Rajasthan.. https:\xe2\x80\xa6'"
861217649686085632,2017-05-07 13:54:22,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861216426694234112,2017-05-07 13:49:31,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861214480893710336,2017-05-07 13:41:47,b'#Rajasthan #dairy #farmers sell #cow dung cakes on #Amazon https://t.co/LuopAMFrhF #business'
861214213158711296,2017-05-07 13:40:43,b'RT @yespunjab: #Rajasthan dairy farmers selling pure #cowdung cakes on #Amazon\nhttps://t.co/nCLNcbkaZy https://t.co/OSVPgTqZAZ'
861214097081155586,2017-05-07 13:40:15,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861213641206628352,2017-05-07 13:38:27,b'RT @abhishekt00: #Rajasthan shooters Manavaditya @ Vivaan kapur  have qualified for the Jr Indian Team @jaipurdna'
861213093585670145,2017-05-07 13:36:16,b'#Rajasthan shooters Manavaditya @ Vivaan kapur  have qualified for the Jr Indian Team @jaipurdna'
861212899368357888,2017-05-07 13:35:30,b'@PMOIndia Happy with #DeMonetisation however lets provide Government Places with Card Mchns Albert Museum\xe2\x80\xa6 https://t.co/uL7DQ9hv3e'
861212643369119744,2017-05-07 13:34:29,b'#Rajasthan dairy farmers selling pure #cowdung cakes on #Amazon\nhttps://t.co/nCLNcbkaZy https://t.co/OSVPgTqZAZ'
861212642375020544,2017-05-07 13:34:29,b'#Rajasthan dairy farmers selling pure #cowdung cakes on #Amazon\nhttps://t.co/DzBTqc3JT8 https://t.co/HoTW5Y7xjq'
861212641393598465,2017-05-07 13:34:28,b'#Rajasthan dairy farmers selling pure #cowdung cakes on #Amazon\nhttps://t.co/DzBTqc3JT8 https://t.co/eIZTsHETxC'
861212640999297024,2017-05-07 13:34:28,b'#Rajasthan dairy farmers selling pure #cowdung cakes on #Amazon\nhttps://t.co/nCLNcbkaZy https://t.co/3nUNX7kni6'
861212509675569152,2017-05-07 13:33:57,b'RT @ashokgehlot51: ....May his dream of building a medical laboratory also come true.\n #Jodhpur #Rajasthan'
861212400858648576,2017-05-07 13:33:31,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861211099873644546,2017-05-07 13:28:21,b'RT @firstpost: #Rajasthan dairy farmers sell cow dung cakes on Amazon #Shareworthy https://t.co/52JAPxlD6Y https://t.co/Vn152NkaAm'
861209579266363392,2017-05-07 13:22:18,b'#Rajasthan gets central nod for #ERCP: Official\nhttps://t.co/HqsA0ioS3j https://t.co/IYRvDnfcs1'
861208855279263744,2017-05-07 13:19:26,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861208816700059649,2017-05-07 13:19:17,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861208669609836544,2017-05-07 13:18:41,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861206853136658432,2017-05-07 13:11:28,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861206108706226176,2017-05-07 13:08:31,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861205937780121601,2017-05-07 13:07:50,b'#India #Rajasthan dairy farmers selling cow dung cakes on Amazon https://t.co/7mGKVkXVfZ'
861203726035337217,2017-05-07 12:59:03,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861202142840991745,2017-05-07 12:52:45,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861201851617689600,2017-05-07 12:51:36,b'RT @ashokgehlot51: I congratulate Avinash Pandey ji for becoming General Secretary incharge\xe2\x80\x8b of #Rajasthan Cong.Wish him all success in thi\xe2\x80\xa6'
861201807824912384,2017-05-07 12:51:25,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861200954334597120,2017-05-07 12:48:02,b'RT @SuddharJao: #HotIronBranding as a #vaccination in #Rajasthan prevelant due to lack of #awareness #SuddharJao #LegalMitra https://t.co/A\xe2\x80\xa6'
